11 3
5 1 20
7 3 140
8 4 189
8 1 359
0 8 393
3 1 413
0 7 526
6 4 695
0 3 749
7 3 977
0 1 1168
0 7 1249
0 8 1298
6 4 1359
0 6 1410
0 4 1613
0 5 1649
0 4 1740
9 3 1795
0 5 1797
6 1 1856
0 7 1865
8 6 1898
9 3 1921
7 3 1976
10 5 1989
4 2 2020
9 6 2040
0 1 2216
0 8 2336
0 2 2459
3 1 2486
0 6 2682
5 2 2687
2 1 2777
0 1 2817
7 2 2974
0 9 3111
7 4 3256
4 3 3438
0 7 3557
0 5 3970
0 9 4005
9 4 4014
7 5 4069
10 7 4120
0 4 4153
0 6 4494
0 6 4577
7 1 4698
0 4 4941
0 7 4993
8 1 5060
5 1 5190
10 4 5191
0 2 5244
0 4 5324
0 5 5340
10 3 5387
0 5 5460
9 8 5605
8 2 5661
5 3 5796
0 5 5941
0 3 6003
6 1 6005
0 9 6079
3 2 6120
0 3 6242
4 1 6319
10 8 6364
0 8 6431
7 3 6438
0 7 6580
0 3 6638
4 2 6687
0 5 6776
0 1 6887
2 1 7122
8 1 7138
0 3 7168
0 6 7197
0 1 7235
0 7 7264
3 2 7327
0 7 7443
6 2 7466
5 4 7792
0 7 7824
0 5 7836
3 1 7974
9 7 7975
0 6 8056
10 9 8174
0 10 8216
4 1 8261
6 5 8357
0 10 8371
0 5 8439
0 3 8567
8 6 8625
6 1 8678
0 2 8744
0 8 8764
0 7 8891
9 7 8920
0 3 8943
2 1 9037
0 5 9192
0 4 9287
0 2 9291
0 3 9310
0 7 9341
0 3 9388
9 1 9425
0 1 9457
5 2 9719
9 5 9794
7 1 10007
8 3 10014
0 3 10035
10 1 10059
0 7 10215
0 1 10396
0 2 10566
2 1 10570
0 5 10595
0 2 10636
0 8 10645
0 6 10688
0 8 10727
9 1 10758
0 10 10834
0 6 10878
5 4 10912
0 5 10939
9 8 10969
0 1 10985
10 3 10986
0 10 11068
0 6 11189
5 1 11210
0 9 11233
0 2 11235
0 2 11254
0 1 11550
7 1 11581
6 1 11605
0 9 11620
5 3 11623
0 5 11863
0 4 12098
5 2 12223
0 8 12345
5 4 12545
0 4 12750
0 9 12842
0 1 12942
0 6 12959
9 6 12980
2 1 13116
5 3 13122
6 4 13126
0 9 13139
7 3 13188
0 9 13278
0 5 13622
0 6 13680
0 2 13848
0 9 13859
0 2 13991
9 5 13994
7 2 14098
0 7 14259
2 1 14399
10 5 14480
7 2 14552
3 1 14586
0 2 14699
0 6 14752
3 1 14962
0 7 14971
0 2 15036
0 9 15043
0 5 15096
0 7 15196
0 6 15385
0 5 15589
3 1 15626
9 8 15642
0 1 15804
0 6 15901
0 9 15908
0 3 15940
3 1 16240
2 1 16413
0 8 16448
0 6 16462
0 6 16470
0 2 16886
0 7 17074
9 6 17186
0 5 17202
3 1 17320
0 7 17360
9 5 17535
0 9 17583
8 6 17613
0 3 17733
0 5 18032
6 5 18104
0 2 18216
6 4 18236
9 1 18267
3 2 18272
0 8 18274
0 7 18299
0 9 18323
0 4 18348
0 4 18511
5 1 18551
7 5 18672
0 5 18846
0 5 18934
0 3 19118
0 9 19133
5 1 19183
0 9 19284
0 2 19323
8 2 19366
0 2 19398
0 6 19458
4 1 19571
0 6 19618
0 8 19691
0 3 19716
9 3 19726
0 8 19794
9 5 19817
6 2 19838
7 6 19859
10 2 19995
0 5 20103
0 8 20206
5 1 20356
0 9 20409
0 2 21006
2 1 21266
0 4 21305
4 1 21505
0 7 21523
0 9 21674
0 4 21880
0 9 22062
4 3 22187
0 6 22345
0 6 22447
0 7 22450
0 4 22514
8 1 22905
6 2 22940
5 1 22947
0 1 22949
9 4 23114
0 3 23214
3 1 23368
0 2 23386
0 5 23430
2 1 23632
10 9 23739
0 3 23774
8 6 23861
3 2 23878
4 1 23939
8 4 23943
6 3 23963
9 1 23998
5 1 24271
0 10 24506
3 1 24548
8 7 24571
0 8 24624
10 9 24651
0 2 24653
0 1 24663
0 3 24691
0 5 24698
0 1 24741
8 6 24772
0 1 24798
0 2 25176
4 2 25298
0 8 25311
9 3 25525
5 2 25708
0 8 25745
8 6 25791
6 4 25868
0 2 25869
0 3 25885
5 1 25904
0 3 25927
0 5 25989
0 4 26190
6 1 26262
0 5 26286
3 2 26439
2 1 26521
6 4 26704
6 5 26759
0 2 26784
0 3 26786
0 10 26906
0 3 26976
0 9 26990
0 7 27001
0 1 27060
0 6 27085
0 10 27249
