3 1
2 1 7
2 1 40
2 1 107
2 1 114
0 2 269
0 2 293
0 2 294
0 2 510
0 2 641
0 1 651
0 1 671
2 1 682
2 1 716
0 2 855
2 1 924
0 2 961
0 1 1180
2 1 1196
0 1 1247
0 1 1350
2 1 1373
0 2 1439
0 2 1477
0 2 1574
0 1 2272
2 1 2282
0 1 2295
0 2 2322
2 1 2362
0 2 2693
2 1 2898
0 1 2925
0 2 2970
0 1 2980
2 1 3053
2 1 3149
0 2 3286
2 1 3487
0 1 3506
0 1 3584
0 1 3697
2 1 3810
2 1 3936
0 1 3977
0 1 4006
2 1 4161
0 2 4224
2 1 4267
0 2 4343
2 1 4425
2 1 4562
0 2 4612
0 2 4643
0 2 4649
0 2 4663
2 1 4753
2 1 5056
0 2 5124
2 1 5443
0 1 5517
0 2 5569
0 2 5768
2 1 5917
0 1 5951
0 1 6319
0 1 6329
0 1 6412
0 2 6427
2 1 6529
0 1 6540
0 1 6562
2 1 6647
0 2 6656
2 1 6737
2 1 6742
0 1 7216
0 2 7269
0 2 7280
0 1 7283
0 2 7349
0 2 7382
0 1 7464
2 1 7666
2 1 7708
0 2 7803
0 2 7917
0 2 7928
2 1 7937
0 1 8041
2 1 8094
2 1 8118
2 1 8139
2 1 8224
2 1 8243
0 1 8255
0 2 8325
0 2 8373
0 2 8523
2 1 8537
2 1 8735
2 1 8770
0 1 8917
2 1 8928
2 1 8992
0 1 9124
0 2 9428
0 2 9547
2 1 9740
2 1 9757
0 2 9844
0 1 9880
0 2 9984
0 1 10058
0 1 10173
0 1 10277
2 1 10286
2 1 10434
0 2 10464
0 2 10488
0 1 10587
0 2 10594
0 1 10671
2 1 10696
0 2 10708
2 1 10752
0 2 10807
2 1 10843
0 1 10849
2 1 10982
0 2 11435
0 1 11472
2 1 11482
0 1 11687
2 1 11800
0 1 11994
0 2 12018
0 1 12146
2 1 12147
2 1 12149
0 2 12154
2 1 12183
2 1 12206
2 1 12241
0 1 12250
0 2 12347
0 1 12380
0 2 12425
0 2 12720
2 1 12728
2 1 12735
0 1 12773
0 1 12829
0 2 12841
2 1 12855
2 1 12967
0 2 13024
0 2 13078
0 2 13152
0 1 13250
2 1 13281
0 1 13299
2 1 13387
0 2 13403
0 1 13440
0 2 13461
2 1 13561
0 1 14108
0 1 14219
0 2 14247
0 1 14357
0 2 14449
2 1 14454
2 1 14460
0 1 14499
0 1 14584
0 1 14700
2 1 14703
0 2 14881
0 2 14917
0 1 14938
0 1 14993
0 2 15104
0 2 15195
0 2 15244
2 1 15245
0 2 15435
2 1 15936
2 1 16075
0 1 16096
0 2 16097
2 1 16141
0 2 16151
0 2 16185
0 2 16251
2 1 16304
2 1 16472
0 2 16551
0 2 16611
0 1 16670
0 2 16677
0 2 16718
2 1 16729
0 1 16779
2 1 16809
0 1 16974
0 2 16995
0 2 17105
0 2 17125
0 1 17143
0 2 17215
0 1 17300
2 1 17433
0 2 17547
0 1 17562
0 1 17578
0 1 17606
0 2 17648
0 1 17718
0 2 17729
2 1 17750
0 1 17815
0 2 17920
0 2 17931
0 1 17998
0 2 18013
0 2 18132
0 2 18219
2 1 18414
2 1 18562
0 2 18569
0 2 18838
2 1 18914
0 2 19102
0 1 19210
0 2 19412
0 2 19524
0 2 19548
0 2 19621
0 2 19761
2 1 19795
2 1 19803
2 1 19825
2 1 19845
2 1 19896
0 2 19912
0 1 19920
2 1 19985
2 1 20078
0 1 20082
0 1 20095
0 2 20209
2 1 20238
2 1 20324
2 1 20463
0 2 20499
0 2 20507
0 1 20732
0 1 20829
0 1 20859
0 2 21096
0 2 21354
2 1 21524
0 1 21568
0 2 21590
2 1 21708
0 1 21815
0 1 21822
0 1 21912
0 2 21951
2 1 21968
0 1 22022
2 1 22144
0 2 22430
2 1 22635
2 1 22639
0 1 22769
0 1 22779
2 1 22840
0 1 22962
0 1 23007
2 1 23070
0 2 23133
0 1 23171
2 1 23172
0 1 23199
2 1 23256
2 1 23298
0 2 23401
0 1 23441
0 1 23454
0 1 23461
0 1 23509
0 1 23683
2 1 23787
2 1 24039
0 1 24239
0 2 24306
0 1 24338
0 2 24395
0 2 24439
0 2 24441
0 1 24463
2 1 24542
2 1 24687
0 2 24733
0 2 24778
0 1 24794
0 1 24858
2 1 24981
0 1 24986
0 2 24998
2 1 25033
0 2 25127
0 1 25172
2 1 25193
0 2 25210
0 2 25242
0 2 25244
2 1 25281
0 2 25284
0 2 25327
0 1 25359
0 1 25407
0 1 25437
2 1 25816
0 2 26280
0 2 26379
0 2 26479
0 1 26497
0 2 26771
2 1 26784
0 2 26864
0 1 26881
0 1 26894
0 1 27003
0 1 27156
0 1 27206
0 2 27434
2 1 27607
0 2 27628
2 1 27689
0 1 27960
0 2 27977
0 1 28097
0 2 28148
2 1 28216
0 1 28354
2 1 28388
0 1 28760
2 1 28769
2 1 28829
2 1 28840
0 2 28952
2 1 29040
0 2 29168
0 1 29169
2 1 29258
0 2 29635
2 1 29670
0 2 29746
0 1 29766
0 2 29966
2 1 29994
0 2 30052
2 1 30115
0 1 30279
0 1 30323
0 2 30451
2 1 30610
0 2 30663
0 1 30718
0 2 30765
0 1 30769
0 1 30851
2 1 30894
2 1 30972
0 1 31162
0 2 31246
0 2 31444
0 2 31657
0 2 31861
2 1 32051
0 1 32285
2 1 32315
0 2 32418
0 1 32539
0 2 32550
0 2 32601
2 1 32750
0 1 32755
0 2 32834
0 2 32878
0 1 33026
0 2 33121
0 1 33244
2 1 33390
0 2 33461
2 1 33571
0 2 33579
0 2 33685
0 1 33911
0 1 34072
2 1 34113
2 1 34205
0 1 34368
0 1 34677
2 1 34936
0 2 35025
0 1 35264
2 1 35277
2 1 35317
0 2 35323
0 1 35416
0 1 35749
0 2 35836
0 2 35919
0 2 36028
0 2 36147
0 2 36191
0 2 36211
2 1 36274
0 1 36619
0 1 36711
2 1 36727
0 2 36822
0 1 37249
0 1 37339
2 1 37369
0 1 37411
0 2 37475
2 1 37578
0 1 37597
0 2 37710
2 1 37747
0 1 37790
2 1 37838
0 1 37931
