10 1
7 4 7
9 1 162
9 7 451
4 3 660
4 3 755
7 1 975
6 3 1055
6 2 1062
8 3 1352
6 4 1355
0 6 1366
2 1 1394
8 5 1434
7 5 1533
7 1 1625
4 1 1722
0 3 1855
0 3 1918
0 1 1960
0 3 2104
9 7 2145
3 2 2336
0 4 2542
0 6 2611
0 6 2672
0 6 2851
0 2 2908
0 5 2909
0 5 2961
0 7 3015
6 5 3043
7 4 3066
3 1 3163
0 3 3314
5 4 3383
0 8 3455
0 1 3473
0 7 3490
0 1 3859
0 4 3920
4 1 3992
0 1 4038
0 8 4084
0 9 4174
6 2 4190
0 3 4243
5 3 4259
9 4 4261
0 8 4279
0 6 4280
0 1 4317
9 8 4336
0 8 4347
0 2 4394
0 2 4405
5 2 4464
9 8 4496
0 9 4545
0 7 4555
0 7 4565
0 4 4589
2 1 4737
0 6 4813
0 6 4852
0 9 4920
4 2 4980
0 2 5059
0 8 5063
7 1 5245
0 7 5323
7 4 5351
5 1 5538
4 1 5616
0 1 5644
0 1 5671
2 1 5700
0 1 5784
0 3 5839
0 2 5874
0 1 5907
9 6 6225
7 3 6300
0 6 6389
7 5 6827
0 8 6893
8 5 6926
0 3 6947
0 2 7064
0 8 7106
0 7 7209
5 4 7224
8 1 7276
0 6 7294
0 9 7401
6 3 7840
7 5 7842
7 3 8341
5 4 8578
0 6 8981
0 7 8986
6 4 9107
0 3 9187
0 6 9519
0 8 9698
4 2 9720
0 1 9902
7 1 9921
7 3 10097
8 4 10117
0 1 10215
0 3 10376
0 9 10489
0 5 10521
0 3 10582
3 2 10680
7 5 10699
0 8 10750
0 7 10752
0 3 10888
5 4 10926
5 4 11022
7 4 11067
4 2 11129
3 2 11147
2 1 11181
0 3 11202
2 1 11267
0 3 11374
0 4 11405
0 1 11468
0 3 11483
0 3 11494
4 1 11557
0 7 11653
5 2 11915
0 5 11920
0 2 12035
8 7 12080
0 5 12089
0 5 12137
0 7 12261
2 1 12281
0 4 12430
4 3 12674
4 2 12725
3 2 12887
9 6 13074
6 5 13079
0 6 13169
0 3 13294
0 7 13322
0 3 13330
0 4 13364
8 6 13420
0 6 13529
6 5 13562
3 2 13803
9 6 13815
5 2 13969
0 7 13974
9 4 14122
0 1 14174
0 3 14680
3 2 14864
4 3 14877
0 6 14907
0 5 14977
0 2 15003
0 2 15061
0 3 15128
9 6 15243
0 5 15252
0 1 15289
5 4 15361
0 1 15563
8 5 15567
6 5 15573
5 1 15734
0 8 15859
0 9 15878
0 6 15972
0 4 16030
6 4 16340
2 1 16398
0 9 16451
0 5 16653
0 5 16787
9 3 16868
0 7 16887
5 1 16898
0 6 16905
8 4 16970
0 6 16973
4 2 17131
6 1 17391
0 1 17449
0 4 17508
0 3 17599
0 6 17696
0 7 17738
0 5 17976
2 1 18272
0 7 18275
0 8 18330
0 3 18356
0 5 18398
0 1 18439
0 6 18563
0 4 18607
9 3 18654
6 1 18781
5 1 18907
0 5 19055
8 3 19086
3 2 19139
0 2 19290
0 4 19418
5 1 19483
3 1 19551
0 2 19606
